ID,PRICE(€),SIZE(m^2)
38810354,2900,157
38797620,1690,100
38810193,1000,60
38774806,1250,75
38805281,1500,95
38734943,1800,110
38803525,950,75
38743349,1400,67
38803777,1100,65
38700733,1200,82
38803717,1300,55
38630644,1600,87
36210198,800,35
38553357,1500,67
38802179,1250,90
38543996,1400,58
38801906,1600,100
38318848,1600,72
38801832,1400,83
36279471,3100,225
38801146,1275,85
38687352,1450,84
38800332,1500,100
38552682,1600,85
38798418,1000,80
38485688,1650,81
38797675,2000,86
38549558,1700,81
38793329,1075,96
38795590,2100,100
38790554,1250,88
38790298,1150,65
38789723,1100,63
38789390,1600,90
38789082,1500,120
38788735,1200,77
38788527,2000,90
38788393,1095,72
38786698,1500,98
30664058,950,70
38783432,1500,65
38783195,1100,75
38783232,1450,55
38779902,1095,73
36375391,1800,100
38774710,1300,80
38772757,1000,72
33471179,1250,90
38789862,1400,95
38774131,1500,90
38765448,1300,75
38761158,1600,73
38727712,995,50
38762338,1250,85
38742887,2900,156
38727559,1400,123
38320479,2100,180
38751326,1600,80
38370528,1800,120
38427105,1800,115
37991413,1800,99
37956196,1790,99
38557924,2250,100
38538191,895,50
38774554,1350,75
38727859,1290,83
38453072,1800,90
38727790,1600,102
38746403,1500,101
38668266,1200,95
38620661,1650,111
38543045,1700,75
1143710,890,80
38753286,1800,115
36375034,1100,65
38730020,2900,180
38678260,1260,70
38528290,1250,85
38727120,1950,140
38757523,1250,75
38746391,1200,70
38678782,1280,71
38653854,1750,115
38543629,1800,110
38502181,1150,69
38485360,1800,110
38339303,1400,63
38246301,1800,75
38643189,1450,85
38762323,1275,97
38609170,1500,105
38557175,1500,77
38556674,1400,58
38534648,950,85
38488475,1780,60
38338659,2500,93
38771089,1400,80
38381250,1700,110
38126891,1250,80
38071678,1750,90
34671595,1400,50
32497659,1500,77
37293517,1650,100
38656441,1150,80
38533203,1200,85
38494546,1300,75
38489452,1200,70
38489276,1350,75
37369041,2000,140
37237829,1650,75
36388999,1650,70
38539326,1650,124
38495886,1400,100
38440705,2500,60
38439861,1800,100
36820730,2600,200
38691483,2900,157
38386432,1400,85
38758437,1750,140
38650131,1100,66
37422030,1095,70
32022476,1800,100
38532470,1100,71
38768288,1400,90
38609603,1800,120
38263672,1200,70
33757577,1100,73
36388714,1800,85
36786434,1650,62
36388922,1650,70
36388851,1750,85
30025292,1600,70
36053518,1850,90
38740278,1400,75
38620622,1400,90
38568043,1300,103
38514548,1500,120
38457104,1800,100
38729855,1250,67
38415626,2200,134
38070856,1900,90
37756858,2100,90
36940988,800,53
38762702,1500,90
38753285,1400,78
38731150,850,51
36098602,1000,60
38609350,1150,95
33836999,1700,45
38767978,2100,100
38679022,1200,70
38658118,1600,119
38546783,1200,83
38534321,1200,78
38530203,800,52
38349563,1200,75
38641564,1800,115
38546861,1300,100
38360204,1800,90
38289496,1950,140
38123689,1350,105
37153593,1600,98
37048308,1400,75
36906943,2100,217
35812244,1900,130
28001195,1800,84
38609187,1800,110
38549536,1400,93
38093053,1400,60
38530321,1800,95
33837010,1900,55
33784942,2250,50
33681181,2300,50
38711350,1400,52
38694509,1000,45
29428377,875,65
38640825,1400,55
38571074,1200,80
38372648,1395,58
38370000,1250,75
38082674,1200,70
38707478,1500,98
38571572,1400,88
38367046,1300,65
37804400,1580,90
37717466,2100,93
38641219,1950,140
38606533,1200,75
38527300,3200,250
38527277,3200,250
38048067,1400,50
37049391,1150,85
38447435,1200,76
38758300,900,57
27487028,900,65
38446594,1400,127
34214580,1100,76
38263146,1350,75
38042471,1800,90
37889057,1800,90
38619930,2000,100
38369476,1700,100
38073565,1750,95
38151777,2500,160
37633036,1750,115
38665305,2900,170
38341959,1400,55
38298913,1250,93
38006862,1390,116
1902279,975,75
38236007,1300,55
38660247,1900,80
38486314,1000,85
38476134,850,50
36855449,2000,130
1951995,890,65
28137053,4500,87
38516068,2500,95
31031906,1500,130
35270689,1200,60
38383947,890,45
38310068,1800,114
38606258,1400,58
38514102,1300,120
38588905,2400,95
38618197,1300,85
38536033,1400,94
38458434,1000,39
38006481,1150,73
28805534,1700,140
38541501,900,80
37993758,1200,83
37468300,1300,104
38604549,1400,90
38078961,2500,160
35571409,1100,85
37756770,2000,139
38625754,850,55
38700339,1250,94
1909930,1550,90
38300129,1800,100
38271376,1300,73
38261011,1050,85
38169324,1100,65
32338649,1100,100
38470102,1100,70
37787585,1500,125
38742558,1400,80
