ID,PRICE(€),SIZE(m^2)
38815123,800,62
38761921,1550,132
38814775,850,55
38812888,800,67
38786703,1250,100
38736716,950,63
38736715,700,70
38659944,800,70
38521747,850,69
38547897,850,69
38379325,1100,84
38090231,1900,120
38731510,850,70
38756051,800,68
38142463,1000,103
38557031,1150,85
38729588,1150,118
37785555,1750,176
38691149,1050,80
38760340,870,70
31260697,600,24
38732153,1000,87
33273120,1050,80
38728660,900,75
38696890,900,75
38666168,1050,80
38454516,950,75
38350391,795,67
38485613,850,70
38304804,1100,100
